layout_name;n_rooms_x;n_rooms_y;UE_Position;ap_positions;mmwave_positions;x_min;x_max;y_min;y_max;z_min;z_max
small_residential;10;1;[7.7429,12.8973,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[4.72692,8.57496,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[10.0004,4.68571,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[0.0333266,12.7334,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[18.4318,8.21686,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[19.7261,10.5179,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[13.5826,12.2741,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[12.5902,14.1971,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[7.09445,15.5362,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[4.11118,17.4828,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[2.16855,15.7188,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[8.45223,3.74898,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[11.9658,8.39898,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[18.9169,0.13455,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[12.4087,4.29653,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[18.4937,17.8428,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[13.379,1.21751,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[18.7003,17.2683,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[12.9871,14.3524,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[18.1014,5.49535,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[13.8943,8.21467,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[8.34922,1.69466,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[5.99119,13.298,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[11.1408,11.0889,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[12.3064,7.48244,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[4.75073,13.6116,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[7.96404,14.9464,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[0.44172,7.50049,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[15.7152,17.8917,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[19.5864,12.4579,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[5.75585,10.5791,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[1.66797,0.135388,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[7.61782,3.42626,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[17.0379,16.8567,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[11.803,9.2835,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[16.784,7.19999,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[5.09174,13.728,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[6.18587,1.38584,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[11.965,0.318151,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[0.453539,10.2547,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
small_residential;10;1;[13.681,12.5883,1.5];[[9.467009, 8.260277, 1.4989723]];[[10.667009, 11.560276, 1.4989723]];0;20;0;50;0;15
